COUNTYNS,ST,COUNTY,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ID_01025844,NC,Stanly,150%,100%,0%,100%,,50%,200%,100%,67%,100%,100%,100%,,100%,67%,100%,80%
ID_01026123,NC,Craven,0%,60%,0%,200%,33%,33%,100%,33%,100%,100%,,67%,67%,,250%,125%,100%
ID_01026124,NC,Cumberland,95%,96%,77%,141%,50%,76%,86%,112%,92%,64%,85%,68%,94%,94%,88%,105%,55%
ID_01026125,NC,Currituck,,,100%,,,100%,100%,,100%,100%,100%,,,,100%,,
ID_01026126,NC,Gates,,,,,,,,,,,,100%,,,100%,100%,
ID_01026127,NC,Hertford,86%,33%,25%,100%,75%,0%,200%,25%,175%,100%,0%,,67%,100%,33%,,0%
ID_01026128,NC,Wayne,36%,55%,57%,86%,65%,90%,113%,57%,73%,84%,100%,77%,67%,40%,33%,50%,50%
ID_01026129,NC,Pender,,100%,200%,200%,100%,0%,,0%,0%,100%,,,50%,0%,100%,67%,67%
ID_01026130,NC,Robeson,60%,87%,61%,88%,100%,110%,79%,77%,68%,92%,60%,63%,83%,72%,56%,73%,71%
ID_01026131,NC,Sampson,33%,75%,100%,100%,17%,,75%,100%,83%,100%,80%,50%,100%,200%,100%,75%,75%
ID_01026132,NC,Duplin,60%,67%,50%,200%,11%,0%,100%,0%,33%,25%,0%,33%,100%,44%,100%,0%,50%
ID_01026133,NC,Dare,100%,50%,0%,100%,0%,0%,100%,,,100%,,100%,100%,0%,0%,,100%
ID_01026327,NC,Johnston,75%,83%,83%,150%,,100%,60%,150%,75%,125%,83%,100%,78%,57%,78%,40%,83%
ID_01026328,NC,Martin,0%,100%,80%,,67%,50%,100%,50%,200%,50%,,100%,,150%,33%,50%,120%
ID_01026329,NC,New Hanover,82%,153%,70%,88%,78%,92%,64%,114%,69%,100%,71%,88%,78%,80%,90%,30%,75%
ID_01026330,NC,Pasquotank,67%,100%,200%,0%,50%,100%,100%,100%,0%,100%,57%,50%,50%,0%,100%,,100%
ID_01026331,NC,Washington,,0%,50%,,100%,,,0%,,0%,,0%,100%,,,100%,
ID_01026332,NC,Tyrrell,,,,,,100%,,,,,,300%,0%,,100%,,100%
ID_01026335,NC,Camden,,,,,,,,,,,0%,,,,,,
ID_01026337,NC,Carteret,200%,100%,100%,100%,100%,100%,200%,50%,200%,,100%,100%,100%,,100%,,0%
ID_01026338,NC,Jones,,,,,,,,,,100%,100%,100%,,,100%,,
ID_01026339,NC,Columbus,57%,75%,57%,75%,125%,90%,83%,33%,100%,40%,300%,63%,67%,75%,75%,88%,75%
ID_01026341,NC,Onslow,100%,113%,67%,100%,143%,175%,63%,82%,73%,91%,63%,,,125%,100%,120%,100%
ID_01034203,NE,Sheridan,,,,,,,,,,,,0%,,,,100%,100%
ID_01034208,NE,Sioux,,,,,,100%,,,,,,,,,,,
ID_01034230,NE,Pierce,,100%,,,,,,,,,,,,,,,
ID_01065575,OH,Belmont,100%,67%,,,,100%,100%,67%,,,0%,,100%,,83%,0%,100%
ID_01065576,OH,Stark,17%,67%,73%,17%,54%,79%,60%,64%,75%,67%,80%,67%,89%,100%,58%,71%,89%
ID_01074014,OH,Adams,,,,,,,,,,0%,,75%,,50%,50%,,
ID_01074015,OH,Allen,0%,0%,40%,33%,38%,100%,0%,33%,0%,100%,10%,0%,17%,0%,0%,67%,63%
ID_01074016,OH,Ashland,0%,,50%,,,,,,,,100%,100%,,100%,,,100%
ID_01074017,OH,Ashtabula,100%,100%,100%,100%,100%,,,0%,100%,,,,100%,0%,0%,0%,
ID_01074018,OH,Athens,,33%,,0%,,100%,50%,100%,,100%,,0%,,0%,,,
ID_01074020,OH,Brown,0%,0%,,,,,,,,0%,50%,,,,,,
ID_01074021,OH,Butler,65%,80%,0%,44%,50%,90%,167%,88%,60%,67%,80%,100%,63%,67%,50%,67%,90%
ID_01074023,OH,Champaign,100%,0%,100%,,100%,,,,,,,100%,0%,,100%,100%,100%
ID_01074024,OH,Clark,40%,75%,63%,50%,100%,67%,60%,150%,60%,20%,67%,89%,75%,38%,86%,114%,120%
ID_01074025,OH,Clermont,100%,0%,75%,50%,50%,67%,,100%,100%,50%,0%,,,,,67%,75%
ID_01074026,OH,Clinton,100%,50%,100%,0%,,100%,,,,,100%,33%,,,100%,,
ID_01074027,OH,Columbiana,0%,0%,,40%,50%,0%,0%,,0%,,100%,,,,0%,100%,
ID_01074028,OH,Coshocton,,,,50%,,,,,50%,0%,,,,,,,0%
ID_01074029,OH,Crawford,,,,,,,,,,,,50%,,100%,100%,100%,
ID_01074030,OH,Cuyahoga,22%,47%,40%,21%,59%,41%,56%,47%,52%,37%,39%,32%,48%,51%,71%,66%,66%
ID_01074031,OH,Darke,,,100%,50%,,,,67%,,0%,0%,,,50%,,,100%
ID_01074032,OH,Defiance,100%,,150%,0%,,100%,,,,,100%,,,,,,
ID_01074033,OH,Delaware,0%,0%,,,0%,100%,0%,100%,,100%,100%,100%,,100%,29%,0%,50%
ID_01074034,OH,Erie,0%,0%,100%,,80%,0%,,67%,50%,0%,,0%,100%,,100%,100%,100%
ID_01074035,OH,Fairfield,,100%,100%,0%,0%,,,33%,0%,0%,100%,0%,0%,,,,
ID_01074036,OH,Fayette,50%,,,,,,,0%,,,50%,100%,,100%,50%,0%,100%
ID_01074037,OH,Franklin,30%,43%,37%,29%,29%,28%,44%,56%,36%,35%,31%,56%,39%,7%,58%,51%,47%
ID_01074038,OH,Fulton,50%,0%,50%,0%,0%,,,0%,,,0%,0%,,,,,
ID_01074039,OH,Gallia,100%,,0%,50%,0%,100%,100%,100%,,33%,,,0%,33%,100%,,
ID_01074040,OH,Geauga,100%,,0%,25%,133%,,,100%,50%,,,,,,,,
ID_01074041,OH,Greene,50%,100%,,80%,33%,33%,0%,100%,50%,25%,0%,100%,0%,133%,0%,0%,50%
ID_01074042,OH,Guernsey,100%,,100%,0%,33%,50%,,100%,,,,100%,,100%,,,0%
ID_01074043,OH,Hamilton,46%,63%,61%,38%,54%,54%,47%,68%,48%,52%,47%,45%,52%,48%,28%,30%,50%
ID_01074044,OH,Hancock,25%,,,0%,,0%,0%,100%,,50%,,,100%,,,,
ID_01074045,OH,Hardin,,0%,,100%,,,0%,,0%,,0%,,,,,,
ID_01074046,OH,Harrison,,,,,,,0%,,,,100%,,,,100%,,
ID_01074047,OH,Henry,50%,0%,,0%,100%,,,,,0%,,,,,,0%,67%
ID_01074048,OH,Highland,40%,0%,,100%,,,100%,,,,,100%,,0%,80%,,
ID_01074049,OH,Hocking,,,,0%,0%,100%,,,,,,100%,0%,,100%,,
ID_01074050,OH,Holmes,100%,100%,0%,,,100%,,,100%,,,,,100%,,,100%
ID_01074051,OH,Huron,,100%,0%,,,,,,,0%,,100%,,,100%,0%,
ID_01074052,OH,Jackson,0%,50%,0%,0%,100%,,,,0%,,,,50%,,,,
ID_01074053,OH,Jefferson,50%,,100%,,,200%,67%,0%,33%,67%,50%,0%,125%,50%,,0%,
ID_01074054,OH,Knox,0%,,,,0%,,,,,,,,,,,,
ID_01074055,OH,Lake,100%,20%,67%,,200%,150%,125%,100%,,100%,75%,,0%,,,,100%
ID_01074056,OH,Lawrence,0%,100%,0%,,100%,0%,,0%,,,,,,,,,
ID_01074057,OH,Licking,0%,100%,50%,100%,,50%,67%,100%,60%,100%,,,67%,100%,100%,,100%
ID_01074058,OH,Logan,100%,,,,,67%,,0%,,,,100%,50%,0%,,100%,100%
ID_01074059,OH,Lorain,50%,67%,,33%,80%,88%,60%,58%,75%,36%,78%,100%,86%,60%,50%,0%,
ID_01074060,OH,Lucas,78%,29%,96%,54%,80%,48%,54%,73%,78%,131%,80%,73%,127%,82%,74%,78%,85%
ID_01074061,OH,Madison,,,,,100%,100%,0%,,100%,,,100%,,100%,,,
ID_01074062,OH,Mahoning,6%,5%,26%,13%,20%,18%,28%,26%,41%,33%,42%,42%,25%,86%,52%,26%,58%
ID_01074063,OH,Marion,100%,100%,67%,0%,150%,0%,100%,100%,100%,100%,100%,0%,50%,100%,,100%,
ID_01074064,OH,Medina,100%,25%,,50%,100%,100%,0%,,,,,,100%,,,,
ID_01074065,OH,Meigs,0%,,0%,100%,0%,0%,,0%,,,,,,100%,,,
ID_01074066,OH,Mercer,,,,,0%,,100%,,80%,,,,,,,,
ID_01074067,OH,Miami,100%,,50%,,100%,100%,,,,,50%,100%,100%,67%,100%,0%,0%
ID_01074068,OH,Monroe,,50%,0%,,,,,,,,,,,,,,
ID_01074069,OH,Montgomery,46%,30%,55%,36%,41%,47%,38%,36%,45%,52%,46%,36%,46%,36%,33%,31%,32%
ID_01074070,OH,Morgan,,0%,,0%,,,,0%,0%,,,,,,100%,,
ID_01074071,OH,Morrow,,,,,0%,,,,,,,,0%,,,,
ID_01074072,OH,Muskingum,,33%,0%,100%,100%,100%,60%,0%,60%,,0%,0%,100%,20%,75%,63%,25%
ID_01074073,OH,Noble,,,,,,,,,,,,,,,,,100%
ID_01074074,OH,Ottawa,,,100%,100%,,20%,100%,,,,,,,,,,
ID_01074075,OH,Paulding,100%,0%,,,,,,,,50%,,,,0%,0%,,
ID_01074076,OH,Perry,,,0%,0%,,,,,,,,0%,,,,,
ID_01074077,OH,Pickaway,,50%,,,100%,100%,0%,,,100%,,100%,0%,,100%,100%,
ID_01074078,OH,Pike,0%,100%,0%,,33%,,,0%,,,0%,,100%,,,,
ID_01074079,OH,Portage,40%,0%,50%,50%,,100%,100%,25%,,,100%,63%,67%,,,,100%
ID_01074080,OH,Preble,0%,0%,100%,,100%,100%,,,,100%,0%,100%,,,100%,,50%
ID_01074081,OH,Putnam,0%,0%,,0%,0%,,,,,,,0%,,0%,,,
ID_01074082,OH,Richland,67%,60%,100%,100%,100%,100%,50%,100%,33%,86%,67%,150%,100%,14%,57%,150%,33%
ID_01074083,OH,Ross,100%,67%,,,,100%,100%,,100%,,100%,67%,50%,0%,,,100%
ID_01074084,OH,Sandusky,100%,0%,100%,,,0%,,,100%,,100%,,,100%,100%,100%,
ID_01074085,OH,Scioto,0%,,100%,,,50%,0%,33%,33%,67%,,,100%,83%,75%,14%,100%
ID_01074087,OH,Shelby,,100%,100%,100%,,,,0%,,,,,,,,0%,
ID_01074088,OH,Summit,56%,57%,79%,79%,74%,63%,50%,57%,77%,87%,45%,59%,68%,56%,38%,94%,29%
ID_01074089,OH,Trumbull,80%,75%,33%,57%,80%,67%,83%,71%,50%,50%,50%,29%,13%,57%,29%,100%,0%
ID_01074090,OH,Tuscarawas,50%,100%,,,0%,,,,,,100%,,,0%,,,0%
ID_01074091,OH,Union,,,,,,,,,,,,0%,0%,,100%,,
ID_01074092,OH,Van Wert,100%,,,100%,,100%,100%,,100%,,,100%,,,,,
ID_01074093,OH,Vinton,,,0%,,0%,0%,,,,,,50%,100%,50%,,100%,
ID_01074094,OH,Warren,67%,,,,,50%,0%,17%,100%,,100%,100%,,100%,,0%,50%
ID_01074095,OH,Washington,100%,0%,100%,100%,,,50%,100%,50%,,,,100%,0%,,0%,0%
ID_01074096,OH,Wayne,100%,50%,0%,100%,0%,25%,50%,,100%,100%,0%,,,,,,
ID_01074097,OH,Williams,0%,,,,,,,,,100%,,,,,,,100%
ID_01074098,OH,Wood,,0%,,,0%,0%,,,100%,,,100%,67%,,0%,100%,0%
ID_01074099,OH,Wyandot,50%,,,100%,,,,,,,,,,,,100%,0%
ID_01101788,OK,Adair,,,0%,,0%,100%,100%,100%,50%,100%,,,100%,100%,150%,100%,75%
ID_01101790,OK,Atoka,,100%,,,100%,,,0%,,,,,,0%,,100%,50%
ID_01101791,OK,Beaver,,,,,,,,,,100%,,,,,100%,,
ID_01101792,OK,Beckham,0%,0%,,,0%,,,0%,67%,,,,,50%,,,67%
ID_01101793,OK,Blaine,,0%,,,,,100%,,100%,,,100%,,,,,
ID_01101794,OK,Bryan,,,,0%,0%,100%,,100%,200%,80%,100%,100%,,100%,100%,50%,100%
ID_01101795,OK,Caddo,0%,17%,100%,100%,0%,,,0%,100%,100%,,50%,67%,,50%,100%,150%
ID_01101796,OK,Canadian,0%,50%,100%,100%,,100%,100%,100%,,75%,67%,,50%,100%,75%,100%,100%
ID_01101797,OK,Carter,57%,100%,100%,50%,50%,100%,100%,100%,0%,71%,125%,100%,100%,100%,100%,100%,250%
ID_01101798,OK,Cherokee,,100%,,100%,0%,100%,100%,50%,0%,50%,50%,100%,50%,150%,0%,67%,100%
ID_01101799,OK,Choctaw,,0%,,,,100%,,,67%,100%,100%,33%,200%,,100%,100%,
ID_01101800,OK,Cimarron,,,,0%,,,,,,,,,,,,,
ID_01101801,OK,Cleveland,100%,100%,100%,100%,25%,100%,100%,50%,75%,100%,140%,100%,100%,63%,100%,100%,
ID_01101802,OK,Coal,,0%,,,,,,,100%,,100%,,,,100%,100%,100%
ID_01101803,OK,Comanche,75%,50%,100%,62%,46%,75%,60%,91%,33%,80%,113%,83%,100%,100%,88%,67%,60%
ID_01101804,OK,Cotton,,,,,,,100%,,,,100%,,100%,0%,,,
ID_01101805,OK,Craig,,,,100%,100%,100%,,,0%,,100%,,,,,100%,
ID_01101806,OK,Creek,50%,50%,50%,,50%,0%,,,100%,50%,100%,100%,,100%,80%,100%,100%
ID_01101807,OK,Custer,,0%,0%,0%,0%,,,100%,,50%,100%,0%,,100%,100%,,
ID_01101808,OK,Delaware,,0%,,100%,0%,100%,50%,50%,,100%,50%,100%,100%,100%,100%,100%,100%
ID_01101809,OK,Dewey,,,,,,,,,,,,100%,,,,,
ID_01101810,OK,Ellis,,,,,,100%,,,,,,,,,,,
ID_01101811,OK,Garfield,100%,100%,,100%,50%,,50%,100%,,100%,0%,,100%,100%,100%,0%,100%
ID_01101812,OK,Garvin,100%,,100%,100%,,83%,100%,100%,,100%,100%,100%,100%,,100%,100%,100%
ID_01101813,OK,Grady,,,100%,100%,100%,100%,0%,,50%,,100%,100%,100%,100%,100%,100%,100%
ID_01101814,OK,Grant,,,,0%,,,,,,,,,,,,,
ID_01101815,OK,Greer,,,,,,,,,,0%,,100%,,,,,100%
ID_01101816,OK,Harmon,,,,,100%,,,,,100%,0%,,,,,,
ID_01101818,OK,Haskell,,,,,,100%,,100%,,,100%,,,100%,,100%,
ID_01101819,OK,Hughes,,,,100%,,100%,,,100%,100%,,,0%,100%,,100%,100%
ID_01101820,OK,Jackson,50%,,,,100%,,,100%,0%,,,50%,67%,50%,50%,50%,
ID_01101821,OK,Jefferson,,,,,,,,,,,,100%,,,,,
ID_01101822,OK,Johnston,,,,,100%,,100%,,100%,,,,100%,,,,
ID_01101823,OK,Kay,,,100%,0%,,100%,0%,100%,0%,67%,,0%,100%,50%,,100%,100%
ID_01101824,OK,Kingfisher,,0%,,,,,,,,,,,,,,,100%
ID_01101825,OK,Kiowa,,0%,,,,50%,,,,,,,,0%,100%,100%,100%
ID_01101826,OK,Latimer,,,,,,,,,0%,,,,,100%,,,
ID_01101827,OK,Le Flore,67%,100%,,0%,100%,100%,100%,75%,100%,0%,0%,67%,,100%,100%,100%,100%
ID_01101828,OK,Lincoln,0%,,0%,100%,0%,50%,0%,,33%,,0%,,0%,0%,100%,,100%
ID_01101829,OK,Logan,0%,100%,0%,100%,,33%,50%,,100%,100%,100%,,100%,,100%,100%,
ID_01101830,OK,Love,,,,100%,,,100%,,,,100%,,,,,0%,100%
ID_01101831,OK,Major,,,,,,,,,,0%,,,,,,,
ID_01101832,OK,Marshall,,,,,100%,,,100%,0%,,,,,100%,100%,,100%
ID_01101833,OK,Mayes,0%,,0%,,100%,,0%,,,200%,100%,50%,60%,100%,300%,100%,100%
ID_01101834,OK,McClain,0%,0%,0%,,,,75%,,,100%,80%,100%,,,,100%,100%
ID_01101835,OK,McCurtain,100%,100%,,,,,100%,100%,57%,80%,100%,250%,100%,83%,100%,71%,75%
ID_01101836,OK,McIntosh,0%,,,0%,0%,,100%,100%,,100%,,,75%,33%,100%,100%,100%
ID_01101837,OK,Murray,,100%,,,100%,0%,,,,,,,,,,,100%
ID_01101838,OK,Muskogee,100%,57%,43%,50%,67%,100%,75%,,,80%,0%,67%,50%,17%,150%,113%,64%
ID_01101839,OK,Noble,50%,,,,,100%,,,,100%,,,,,,,
ID_01101840,OK,Nowata,,,,,,,,,,,100%,,,,,,
ID_01101841,OK,Okfuskee,,0%,100%,,0%,,100%,100%,33%,,,50%,0%,0%,,,33%
ID_01101842,OK,Oklahoma,66%,64%,62%,78%,69%,74%,75%,79%,70%,65%,71%,64%,100%,65%,100%,59%,82%
ID_01101843,OK,Okmulgee,75%,67%,,,100%,20%,67%,50%,25%,50%,100%,100%,40%,,,100%,100%
ID_01101844,OK,Osage,100%,67%,100%,50%,,0%,,100%,0%,0%,0%,75%,100%,100%,100%,,
ID_01101845,OK,Ottawa,0%,,,0%,,100%,,0%,,,100%,100%,,100%,100%,100%,100%
ID_01101846,OK,Pawnee,,,50%,50%,0%,,0%,33%,100%,,,,150%,0%,,0%,
ID_01101847,OK,Payne,67%,100%,50%,100%,50%,,50%,100%,,100%,100%,,,100%,100%,100%,150%
ID_01101848,OK,Pittsburg,60%,33%,0%,0%,,50%,50%,100%,100%,100%,100%,100%,100%,100%,50%,100%,150%
ID_01101849,OK,Pontotoc,100%,,100%,,100%,75%,100%,100%,100%,100%,100%,100%,67%,100%,100%,100%,100%
ID_01101850,OK,Pottawatomie,133%,100%,75%,33%,67%,86%,75%,100%,100%,100%,100%,,50%,125%,100%,75%,50%
ID_01101851,OK,Pushmataha,,0%,0%,0%,,100%,200%,0%,,,50%,0%,,,100%,,100%
ID_01101852,OK,Roger Mills,,,,,,,,,,,,,,,,0%,
ID_01101853,OK,Rogers,150%,100%,100%,,,100%,,,75%,100%,100%,,100%,,100%,100%,100%
ID_01101854,OK,Seminole,0%,33%,0%,0%,100%,60%,,100%,0%,100%,0%,150%,100%,100%,100%,100%,100%
ID_01101855,OK,Sequoyah,0%,0%,0%,,,100%,80%,0%,100%,100%,200%,200%,100%,100%,100%,,75%
ID_01101856,OK,Stephens,,,0%,100%,100%,100%,0%,,100%,,,,100%,,,,50%
ID_01101857,OK,Texas,,0%,,,,,,,100%,100%,100%,100%,100%,,,,
ID_01101858,OK,Tillman,,0%,,,,,,100%,,,,,50%,,,,
ID_01101859,OK,Tulsa,63%,59%,84%,85%,87%,89%,62%,85%,80%,98%,63%,94%,79%,66%,91%,80%,88%
ID_01101860,OK,Wagoner,0%,33%,0%,0%,50%,100%,100%,100%,0%,100%,100%,100%,50%,100%,0%,0%,67%
ID_01101861,OK,Washington,100%,0%,100%,50%,100%,200%,100%,100%,,,,100%,,100%,100%,,100%
ID_01101862,OK,Washita,0%,0%,0%,,,,,,0%,,0%,,,,,,
ID_01101863,OK,Woods,,,,,,,,,50%,,,,,,,,
ID_01101864,OK,Woodward,,,,,,100%,,100%,,,100%,100%,,100%,,,100%
ID_01135846,OR,Clatsop,0%,,100%,,,,0%,100%,0%,,100%,0%,,,,100%,
ID_01135847,OR,Columbia,,80%,,,,,,100%,,0%,100%,,,,,100%,100%
ID_01135848,OR,Coos,50%,67%,50%,100%,50%,200%,67%,0%,,,,0%,,,0%,67%,
ID_01135849,OR,Douglas,25%,40%,25%,0%,0%,100%,33%,0%,0%,100%,50%,,75%,75%,,0%,100%
ID_01135851,OR,Grant,,,,,,,,,100%,,,,,,,,
ID_01135852,OR,Harney,,0%,,,100%,,,,,,,,,,,100%,
ID_01135853,OR,Jackson,100%,80%,100%,100%,50%,80%,75%,50%,0%,33%,75%,40%,80%,80%,100%,50%,50%
ID_01135854,OR,Lake,,,,,,,,,,0%,,,,,,,100%
ID_01135855,OR,Lane,71%,83%,50%,100%,86%,100%,75%,125%,63%,100%,75%,50%,80%,40%,100%,150%,100%
ID_01135856,OR,Lincoln,0%,100%,100%,0%,,33%,67%,50%,,50%,100%,100%,100%,,67%,0%,0%
ID_01135857,OR,Linn,,100%,67%,0%,,100%,0%,,50%,100%,50%,100%,33%,0%,,67%,0%
ID_01135858,OR,Malheur,0%,100%,100%,67%,,,100%,100%,,,100%,,100%,,,,
ID_01135859,OR,Marion,73%,71%,100%,62%,62%,55%,100%,56%,69%,75%,62%,38%,50%,38%,71%,40%,0%
ID_01135860,OR,Morrow,0%,,,,0%,,50%,100%,,,,,,,,,
ID_01135861,OR,Multnomah,55%,40%,25%,25%,58%,27%,62%,50%,50%,46%,58%,54%,55%,44%,26%,0%,0%
ID_01135862,OR,Polk,50%,,200%,0%,,100%,100%,,,,100%,50%,,,0%,,
ID_01135863,OR,Sherman,,,,,,,,,,,,,100%,,,,
ID_01135864,OR,Tillamook,,100%,0%,0%,,,50%,0%,,,,,,,100%,,
ID_01135866,OR,Yamhill,100%,50%,0%,100%,100%,100%,50%,100%,100%,100%,100%,40%,,,17%,0%,100%
ID_01155126,OR,Benton,100%,50%,,,100%,100%,,100%,100%,50%,,100%,100%,,,0%,
ID_01155127,OR,Clackamas,70%,100%,67%,50%,44%,75%,50%,33%,57%,100%,63%,67%,33%,80%,80%,50%,75%
ID_01155128,OR,Crook,100%,50%,,,,,,0%,,,,,,,,,
ID_01155129,OR,Curry,,0%,,,,,,,0%,,100%,,,100%,50%,0%,
ID_01155130,OR,Deschutes,50%,67%,,67%,,50%,71%,100%,,,100%,75%,100%,,75%,67%,100%
ID_01155131,OR,Hood River,,,50%,,,100%,,,,,,,100%,,,,
ID_01155132,OR,Jefferson,0%,0%,,100%,25%,0%,33%,50%,50%,,100%,,100%,,,,100%
ID_01155133,OR,Josephine,50%,38%,50%,67%,100%,33%,50%,,0%,0%,0%,100%,67%,67%,,50%,
ID_01155134,OR,Klamath,67%,100%,40%,38%,0%,,25%,0%,,38%,100%,50%,33%,,0%,0%,0%
ID_01155135,OR,Wallowa,,,,,100%,,,,,,,100%,,,,,
ID_01155136,OR,Wasco,,50%,,,0%,0%,0%,100%,0%,,,100%,,,100%,50%,100%
ID_01155137,OR,Washington,60%,100%,20%,75%,70%,20%,60%,57%,200%,75%,83%,50%,56%,125%,75%,43%,100%
ID_01156673,OR,Umatilla,43%,33%,0%,0%,50%,33%,40%,67%,14%,29%,0%,0%,67%,0%,0%,67%,33%
ID_01164165,OR,Union,100%,,,,,,,100%,100%,,,,100%,100%,,,
ID_01209171,PA,Bedford,,100%,100%,,100%,33%,100%,100%,100%,,,150%,,100%,33%,33%,
ID_01209172,PA,Berks,59%,65%,67%,182%,36%,74%,92%,63%,88%,73%,83%,70%,84%,84%,71%,55%,64%
ID_01209173,PA,Bucks,70%,114%,111%,88%,133%,75%,80%,75%,100%,57%,88%,88%,100%,88%,117%,78%,133%
ID_01209174,PA,Chester,40%,83%,600%,120%,29%,63%,50%,67%,56%,100%,88%,71%,33%,67%,33%,50%,83%
ID_01209175,PA,Clearfield,100%,125%,100%,33%,100%,,,100%,100%,100%,100%,100%,100%,100%,100%,,
ID_01209176,PA,Cumberland,100%,100%,100%,75%,,100%,100%,100%,200%,0%,67%,200%,200%,133%,100%,67%,120%
ID_01209177,PA,Delaware,26%,25%,42%,47%,53%,58%,36%,57%,44%,27%,54%,70%,61%,93%,90%,48%,63%
ID_01209178,PA,Erie,73%,27%,42%,75%,73%,75%,100%,89%,44%,80%,100%,75%,100%,100%,86%,100%,100%
ID_01209179,PA,Fayette,67%,100%,100%,60%,33%,50%,100%,100%,150%,88%,100%,117%,120%,150%,88%,75%,100%
ID_01209180,PA,Juniata,,100%,,,,0%,0%,100%,,,,,,100%,,150%,100%
ID_01209181,PA,Lancaster,88%,88%,69%,80%,93%,71%,89%,67%,88%,77%,90%,83%,100%,90%,100%,75%,83%
ID_01209182,PA,Lehigh,79%,91%,80%,73%,74%,38%,64%,59%,67%,55%,82%,45%,82%,64%,118%,75%,91%
ID_01209183,PA,Luzerne,77%,87%,75%,59%,76%,92%,44%,81%,67%,92%,95%,92%,111%,75%,53%,63%,100%
ID_01209184,PA,Monroe,30%,350%,120%,88%,125%,75%,33%,70%,100%,0%,75%,133%,111%,100%,25%,43%,100%
ID_01209185,PA,Northampton,43%,67%,125%,38%,60%,80%,40%,50%,100%,29%,80%,43%,100%,50%,114%,77%,83%
ID_01209186,PA,Northumberland,100%,0%,100%,50%,67%,,100%,,67%,,50%,100%,50%,,,100%,150%
ID_01209187,PA,Philadelphia,45%,58%,59%,71%,70%,60%,70%,75%,75%,58%,56%,63%,65%,65%,80%,70%,71%
ID_01209188,PA,Somerset,100%,,100%,67%,100%,50%,,29%,100%,100%,,100%,100%,150%,67%,,100%
ID_01209189,PA,Tioga,,,,50%,,100%,0%,,100%,,,,,,,,
ID_01209190,PA,Washington,133%,60%,88%,60%,80%,80%,75%,71%,86%,114%,50%,133%,100%,100%,100%,0%,75%
ID_01209191,PA,Westmoreland,75%,50%,33%,100%,50%,100%,100%,43%,60%,43%,83%,50%,60%,67%,67%,89%,75%
ID_01209192,PA,Wyoming,,100%,,100%,,,100%,,,150%,,100%,100%,,100%,,
ID_01209193,PA,York,79%,63%,50%,53%,71%,30%,45%,68%,75%,50%,100%,94%,67%,100%,117%,100%,100%
ID_01210234,PA,Clarion,,,,67%,100%,,,100%,,100%,,50%,100%,,100%,100%,100%
ID_01210235,PA,McKean,,100%,100%,100%,,100%,0%,100%,,,100%,100%,100%,100%,,33%,
ID_01213656,PA,Adams,100%,,,100%,50%,,100%,0%,100%,,100%,200%,100%,100%,100%,150%,100%
ID_01213657,PA,Allegheny,53%,48%,49%,48%,49%,51%,50%,56%,44%,62%,54%,72%,79%,74%,74%,73%,92%
ID_01213658,PA,Armstrong,,0%,,,,,,100%,,,100%,100%,100%,100%,,,100%
ID_01213659,PA,Blair,100%,100%,100%,50%,67%,100%,0%,100%,100%,67%,100%,86%,50%,150%,50%,50%,100%
ID_01213660,PA,Bradford,100%,100%,,50%,,100%,50%,,100%,80%,0%,,40%,100%,100%,50%,100%
ID_01213661,PA,Butler,0%,,100%,0%,100%,100%,100%,0%,100%,,50%,100%,100%,100%,75%,200%,100%
ID_01213662,PA,Cambria,43%,83%,143%,67%,83%,125%,60%,0%,83%,150%,100%,100%,140%,100%,100%,150%,100%
ID_01213663,PA,Cameron,100%,,,,,,,,,,,,,,,,
ID_01213664,PA,Carbon,,0%,100%,0%,100%,,100%,50%,100%,,300%,100%,100%,,,,
ID_01213665,PA,Columbia,,100%,,100%,33%,100%,,100%,,,100%,,100%,,,0%,50%
ID_01213666,PA,Crawford,,100%,,100%,100%,50%,60%,100%,100%,100%,100%,100%,200%,200%,33%,50%,50%
ID_01213667,PA,Dauphin,72%,84%,100%,88%,61%,100%,82%,90%,107%,106%,127%,107%,107%,144%,88%,92%,108%
ID_01213668,PA,Elk,,,,100%,100%,,100%,,200%,,,,,,100%,,
ID_01213669,PA,Forest,,,100%,100%,100%,,,,,,,,,,,,
ID_01213670,PA,Franklin,38%,100%,60%,100%,100%,100%,89%,100%,75%,100%,75%,,50%,100%,50%,,100%
ID_01213671,PA,Fulton,100%,100%,,,,100%,,100%,,100%,,100%,,,100%,100%,
ID_01213672,PA,Huntingdon,100%,,,100%,100%,,0%,0%,,,100%,100%,75%,100%,50%,100%,100%
ID_01213673,PA,Indiana,133%,100%,33%,80%,100%,100%,100%,50%,,75%,0%,50%,200%,100%,100%,50%,100%
ID_01213674,PA,Jefferson,,100%,,100%,100%,,0%,50%,150%,,100%,33%,,100%,200%,100%,100%
ID_01213675,PA,Lackawanna,100%,100%,50%,80%,,80%,0%,67%,78%,100%,,75%,75%,80%,0%,100%,100%
ID_01213676,PA,Lawrence,100%,150%,60%,100%,175%,100%,67%,100%,0%,100%,67%,63%,75%,100%,100%,50%,75%
ID_01213677,PA,Lycoming,71%,86%,75%,67%,100%,100%,0%,100%,0%,67%,0%,50%,100%,100%,150%,100%,
