COUNTYNS,ST,COUNTY,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ID_00161565,AL,Lawrence,,100%,100%,50%,,,,100%,,,50%,100%,,100%,100%,,
ID_00161566,AL,Lee,71%,40%,100%,40%,50%,0%,80%,56%,100%,86%,100%,67%,60%,86%,86%,100%,27%
ID_00161567,AL,Limestone,100%,100%,,,75%,100%,100%,0%,0%,,,,,100%,80%,100%,100%
ID_00161568,AL,Lowndes,100%,,100%,50%,100%,0%,,100%,,100%,50%,100%,,67%,100%,33%,
ID_00161569,AL,Macon,17%,67%,,50%,0%,50%,67%,33%,80%,100%,,,50%,100%,50%,25%,0%
ID_00161570,AL,Madison,81%,64%,70%,81%,61%,88%,55%,89%,67%,76%,82%,92%,100%,67%,89%,63%,38%
ID_00161572,AL,Marengo,50%,0%,,100%,100%,,,100%,75%,,,100%,100%,100%,,,50%
ID_00161573,AL,Marion,100%,,100%,100%,100%,0%,0%,,,,,,,0%,,100%,
ID_00161574,AL,Marshall,100%,50%,0%,,100%,0%,,57%,100%,100%,0%,100%,100%,50%,100%,67%,100%
ID_00161575,AL,Mobile,62%,41%,62%,75%,17%,66%,70%,80%,75%,80%,63%,22%,41%,21%,69%,4%,19%
ID_00161576,AL,Monroe,50%,,0%,33%,,0%,100%,100%,100%,0%,,100%,100%,,50%,100%,67%
ID_00161577,AL,Montgomery,32%,24%,26%,67%,0%,21%,72%,84%,91%,72%,70%,76%,62%,76%,65%,7%,9%
ID_00161578,AL,Morgan,100%,100%,0%,80%,100%,100%,75%,0%,100%,,67%,100%,33%,100%,80%,100%,
ID_00161579,AL,Perry,,,,,,,,,0%,,0%,,,,0%,,
ID_00161580,AL,Pickens,100%,,,100%,33%,100%,,,50%,,0%,0%,,100%,100%,50%,
ID_00161581,AL,Pike,0%,100%,,75%,75%,100%,100%,,150%,,,,0%,0%,,75%,50%
ID_00161582,AL,Randolph,,,,0%,,,0%,,,,100%,,100%,50%,100%,0%,0%
ID_00161583,AL,Russell,70%,67%,88%,100%,100%,57%,100%,50%,100%,100%,,,100%,100%,100%,100%,75%
ID_00161584,AL,Shelby,100%,100%,0%,,100%,60%,50%,100%,0%,100%,100%,0%,50%,100%,100%,50%,50%
ID_00161585,AL,Sumter,100%,0%,0%,0%,0%,,100%,,,100%,,,100%,50%,100%,,
ID_00161586,AL,Talladega,80%,33%,0%,40%,100%,57%,100%,67%,200%,100%,,,,0%,0%,100%,
ID_00161587,AL,Tallapoosa,75%,100%,0%,100%,33%,100%,100%,100%,100%,100%,,100%,100%,0%,100%,,40%
ID_00161588,AL,Tuscaloosa,82%,80%,67%,86%,80%,63%,82%,82%,73%,69%,70%,71%,106%,88%,89%,80%,21%
ID_00161589,AL,Walker,50%,0%,0%,0%,50%,0%,,50%,50%,100%,100%,100%,0%,200%,100%,,
ID_00161590,AL,Washington,50%,,100%,,0%,100%,,,100%,,,100%,,100%,100%,,
ID_00161591,AL,Wilcox,0%,,100%,50%,,100%,,100%,,100%,0%,0%,0%,0%,0%,100%,
ID_00161592,AL,Winston,,,,50%,100%,,,,0%,0%,,,100%,100%,,100%,0%
ID_00164997,AL,St. Clair,100%,0%,,50%,25%,100%,100%,40%,0%,33%,100%,0%,100%,100%,100%,100%,0%
ID_00198116,CO,Adams,77%,64%,61%,71%,62%,43%,113%,82%,86%,100%,61%,58%,55%,81%,50%,60%,56%
ID_00198117,CO,Alamosa,,,,,,100%,,0%,100%,100%,,,100%,,100%,,
