COUNTYNS,ST,COUNTY,YEAR,MRD,CLR,RATE
00025445,AZ,Mohave,2002,3,2,0.666666667
00025445,AZ,Mohave,2002,2,2,1
00025445,AZ,Mohave,2003,2,0,0
00025445,AZ,Mohave,2003,2,1,0.5
00025445,AZ,Mohave,2003,4,3,0.75
00025445,AZ,Mohave,2003,6,5,0.833333333
00025445,AZ,Mohave,2004,6,2,0.333333333
00025445,AZ,Mohave,2004,4,2,0.5
00025445,AZ,Mohave,2004,0,1,
00025445,AZ,Mohave,2005,11,9,0.818181818
00025445,AZ,Mohave,2005,3,3,1
00025445,AZ,Mohave,2006,1,0,0
00025445,AZ,Mohave,2006,4,2,0.5
00025445,AZ,Mohave,2006,4,4,1
00025445,AZ,Mohave,2006,9,10,1.111111111
00025445,AZ,Mohave,2007,4,3,0.75
00025445,AZ,Mohave,2007,12,12,1
00025445,AZ,Mohave,2008,3,0,0
00025445,AZ,Mohave,2008,1,1,1
00025445,AZ,Mohave,2008,7,8,1.142857143
00025445,AZ,Mohave,2009,1,0,0
00025445,AZ,Mohave,2009,3,1,0.333333333
00025445,AZ,Mohave,2009,3,3,1
00025445,AZ,Mohave,2009,1,2,2
00025445,AZ,Mohave,2010,1,0,0
00025445,AZ,Mohave,2010,4,3,0.75
00025445,AZ,Mohave,2010,3,3,1
00025445,AZ,Mohave,2010,8,9,1.125
00025445,AZ,Mohave,2011,2,1,0.5
00025445,AZ,Mohave,2011,3,2,0.666666667
00025445,AZ,Mohave,2011,6,5,0.833333333
00025445,AZ,Mohave,2011,1,1,1
00025445,AZ,Mohave,2012,1,0,0
00025445,AZ,Mohave,2012,2,1,0.5
00025445,AZ,Mohave,2012,5,5,1
00025445,AZ,Mohave,2012,5,7,1.4
00025445,AZ,Mohave,2013,7,6,0.857142857
00025445,AZ,Mohave,2013,2,2,1
00025445,AZ,Mohave,2014,1,1,1
00025445,AZ,Mohave,2014,2,3,1.5
00025445,AZ,Mohave,2014,3,5,1.666666667
00025445,AZ,Mohave,2014,1,2,2
00025445,AZ,Mohave,2015,1,0,0
00025445,AZ,Mohave,2015,2,4,2
00025445,AZ,Mohave,2015,1,3,3
00025445,AZ,Mohave,2016,2,1,0.5
00025445,AZ,Mohave,2016,8,5,0.625
00025445,AZ,Mohave,2016,3,4,1.333333333
00025446,AZ,Pima,1965,5,3,0.6
00025446,AZ,Pima,1965,10,9,0.9
00025446,AZ,Pima,1966,13,12,0.923076923
00025446,AZ,Pima,1966,2,2,1
00025446,AZ,Pima,1967,4,2,0.5
00025446,AZ,Pima,1967,10,8,0.8
00025446,AZ,Pima,1968,8,7,0.875
00025446,AZ,Pima,1968,1,1,1
00025446,AZ,Pima,1969,17,17,1
00025446,AZ,Pima,1970,8,3,0.375
00025446,AZ,Pima,1970,53,51,0.962264151
00025446,AZ,Pima,1971,19,19,1
00025446,AZ,Pima,1971,3,8,2.666666667
00025446,AZ,Pima,1972,5,4,0.8
00025446,AZ,Pima,1972,12,12,1
00025446,AZ,Pima,1973,28,23,0.821428571
00025446,AZ,Pima,1973,10,9,0.9
00025446,AZ,Pima,1974,1,0,0
00025446,AZ,Pima,1974,18,9,0.5
00025446,AZ,Pima,1974,6,4,0.666666667
00025446,AZ,Pima,1974,26,22,0.846153846
00025446,AZ,Pima,1975,13,9,0.692307692
00025446,AZ,Pima,1975,23,19,0.826086957
00025446,AZ,Pima,1976,14,7,0.5
00025446,AZ,Pima,1976,24,20,0.833333333
00025446,AZ,Pima,1976,2,2,1
00025446,AZ,Pima,1977,13,9,0.692307692
00025446,AZ,Pima,1977,35,33,0.942857143
00025446,AZ,Pima,1978,26,17,0.653846154
00025446,AZ,Pima,1978,11,11,1
00025446,AZ,Pima,1979,12,4,0.333333333
00025446,AZ,Pima,1979,2,1,0.5
00025446,AZ,Pima,1979,14,14,1
00025446,AZ,Pima,1980,12,6,0.5
00025446,AZ,Pima,1980,38,25,0.657894737
00025446,AZ,Pima,1981,2,1,0.5
00025446,AZ,Pima,1981,8,5,0.625
00025446,AZ,Pima,1981,28,22,0.785714286
00025446,AZ,Pima,1982,31,22,0.709677419
00025446,AZ,Pima,1982,18,15,0.833333333
00025446,AZ,Pima,1982,4,4,1
00025446,AZ,Pima,1983,3,0,0
00025446,AZ,Pima,1983,26,17,0.653846154
00025446,AZ,Pima,1983,11,9,0.818181818
00025446,AZ,Pima,1984,3,1,0.333333333
00025446,AZ,Pima,1984,25,18,0.72
00025446,AZ,Pima,1984,16,12,0.75
00025446,AZ,Pima,1984,1,2,2
00025446,AZ,Pima,1985,32,22,0.6875
00025446,AZ,Pima,1985,17,15,0.882352941
00025446,AZ,Pima,1985,2,3,1.5
00025446,AZ,Pima,1986,41,24,0.585365854
00025446,AZ,Pima,1986,19,12,0.631578947
00025446,AZ,Pima,1986,3,3,1
00025446,AZ,Pima,1987,1,0,0
00025446,AZ,Pima,1987,1,1,1
00025446,AZ,Pima,1987,12,13,1.083333333
00025446,AZ,Pima,1987,23,25,1.086956522
00025446,AZ,Pima,1988,1,0,0
00025446,AZ,Pima,1988,24,11,0.458333333
00025446,AZ,Pima,1988,31,25,0.806451613
00025446,AZ,Pima,1989,1,0,0
00025446,AZ,Pima,1989,14,8,0.571428571
00025446,AZ,Pima,1989,40,30,0.75
00025446,AZ,Pima,1990,15,5,0.333333333
00025446,AZ,Pima,1990,30,23,0.766666667
00025446,AZ,Pima,1990,6,5,0.833333333
00025446,AZ,Pima,1991,20,5,0.25
00025446,AZ,Pima,1991,24,16,0.666666667
00025446,AZ,Pima,1992,16,7,0.4375
00025446,AZ,Pima,1992,2,1,0.5
00025446,AZ,Pima,1992,42,32,0.761904762
00025446,AZ,Pima,1993,2,1,0.5
00025446,AZ,Pima,1993,19,13,0.684210526
00025446,AZ,Pima,1993,44,38,0.863636364
00025446,AZ,Pima,1994,11,3,0.272727273
00025446,AZ,Pima,1994,6,2,0.333333333
00025446,AZ,Pima,1994,2,1,0.5
00025446,AZ,Pima,1994,37,26,0.702702703
00025446,AZ,Pima,1995,24,6,0.25
00025446,AZ,Pima,1995,65,36,0.553846154
00025446,AZ,Pima,1995,3,3,1
00025446,AZ,Pima,1996,22,4,0.181818182
00025446,AZ,Pima,1996,3,1,0.333333333
00025446,AZ,Pima,1996,46,26,0.565217391
00025446,AZ,Pima,1996,4,4,1
00025446,AZ,Pima,1997,4,3,0.75
00025446,AZ,Pima,1997,9,7,0.777777778
00025446,AZ,Pima,1997,50,47,0.94
00025446,AZ,Pima,1997,1,1,1
00025446,AZ,Pima,1998,3,2,0.666666667
00025446,AZ,Pima,1998,45,33,0.733333333
00025446,AZ,Pima,1998,26,24,0.923076923
00025446,AZ,Pima,1999,25,17,0.68
00025446,AZ,Pima,1999,36,30,0.833333333
00025446,AZ,Pima,2000,7,0,0
00025446,AZ,Pima,2000,60,35,0.583333333
00025446,AZ,Pima,2000,25,21,0.84
00025446,AZ,Pima,2001,42,24,0.571428571
00025446,AZ,Pima,2001,3,3,1
00025446,AZ,Pima,2001,7,9,1.285714286
00025446,AZ,Pima,2001,1,2,2
00025446,AZ,Pima,2002,3,0,0
00025446,AZ,Pima,2002,22,10,0.454545455
00025446,AZ,Pima,2002,47,32,0.680851064
00025446,AZ,Pima,2002,1,1,1
00025446,AZ,Pima,2003,28,11,0.392857143
00025446,AZ,Pima,2003,47,27,0.574468085
00025446,AZ,Pima,2004,2,0,0
00025446,AZ,Pima,2004,55,26,0.472727273
00025446,AZ,Pima,2004,23,12,0.52173913
